x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,y
0.07010349,-0.51998186,-2.1669967,-0.08371814,0.085268684,-0.17625009,0.14695573,0.15506817,2.7735217,1.252412,0.6292252,-1.0868577,-0.027562674,-0.2605697,-1.2007518,0.3660702,0.047534373,0.08645936,1.6721885,-2.585409,0.24276996,1.074037,0.5902499,0.038670182,1.5725503,1.6946756,-0.41348284,1.1187904,-0.8797107,-0.6282178,-1.2092953,-1.4465154,-0.2405503,-1.1358926,0.48335502,-0.6098172,0.6227311,0.12549174,0.19215728,0.72325474,-0.8058181,0.19660896,1.017302,0.74650127,-0.08147748,0.21625964,0.7061998,0.9982585,1.0688694,0.34124058,-0.67255527,-0.64771134,-1.1615205,-0.23616919,-0.8446889,1.4801537,-0.7135474,1.0406753,-1.7956727,-1.7580289,0.23681006,-1.6831096,-1.8146186,-1.940976,0.0056919027,0.8211757,-0.75505835,1.0128069,-0.8334044,0.73471683,-0.8427392,-0.66160405,-0.203954,0.34879833,0.6031455,-1.9016935,-0.050920594,-0.48974434,-0.88828164,-1.0788561,-1.4997092,0.02507972,0.5437673,0.85204756,-0.33495468,0.88479155,1.4828011,-0.77351695,0.79598117,1.0929387,1.0408605,-0.057827123,1.9944605,-0.736924,0.13799794,-0.5620983,1.1310979,0.95993096,-0.10126008,1.191584,1.0
-0.42584652,-0.46047276,-0.48153773,0.14188363,0.26810902,2.238428,-0.416063,0.6094852,-0.053993337,0.051658586,2.1135283,0.6613778,-0.4050989,-1.1947018,-0.35689273,-1.3273866,-0.14794427,-0.7714858,-1.1680516,1.7482227,-0.10699724,-0.6515653,-2.31135,0.114519104,-1.4012988,-0.12359741,0.93204254,0.23797736,-0.26169756,2.3677652,0.5421851,1.0422891,1.8366455,0.96707493,0.983577,-0.7615914,-0.7271317,0.62791705,-0.075155534,1.1133398,0.5377911,-0.8283292,-2.1626832,0.6150898,0.6735096,-1.0408579,1.0343192,-0.24306002,0.49471998,-2.238192,-0.0570594,1.4142363,1.6704519,0.8832854,-0.9024982,-1.5994954,0.3165879,1.3384763,-1.4556015,-0.056524258,-0.40443018,1.2849314,1.4199166,-1.278902,-1.6464299,0.7875656,-0.18609218,-0.35843444,-0.14698245,-1.2609519,-0.49497953,-0.6476458,-1.3718419,1.1830721,1.321424,-0.4404753,-0.68109894,-0.82552356,1.478787,-1.7771852,-0.29913902,-1.1638467,0.104997575,-1.6768785,2.3077729,-2.12939,-0.29397538,0.0681913,0.5775051,0.3205996,-0.21567376,-0.62821054,1.5990658,0.17145072,-0.24433565,-0.9180461,0.3602703,0.08462391,0.8543262,0.25991425,1.0
0.03305575,-0.2705663,2.7016668,0.26578355,0.008595248,-0.26595676,1.7282971,0.49232432,0.40131015,0.43997934,-0.065125994,-0.4743734,0.67888355,1.8203183,-1.0494772,0.3826776,-0.69958586,-0.03498406,-1.1852494,-0.06731391,1.0578828,-0.6830073,0.51868564,0.6500772,-0.15756565,-0.46336412,-0.103483506,-2.0583375,-0.2046942,-0.56635994,-0.8714971,0.12859656,0.8062086,-2.030392,-1.2994092,0.593391,0.26822641,2.369712,0.28542596,0.5343809,0.43588206,-2.1632411,-2.3912067,-1.2649033,0.36076042,-0.43174046,-1.9315304,0.41732055,-0.84135526,0.621255,-0.46421197,-0.38743055,1.0503383,-0.90871745,0.60129136,0.35567692,-1.4860976,0.18626533,0.5260949,0.14519645,1.4538568,0.83633626,0.60784316,1.2428597,-0.52838403,0.5282632,-0.69261163,-0.6320331,0.3479528,0.67416316,0.43476152,-0.50234294,0.21422383,1.1495942,-1.8909357,-0.72815853,-0.069447935,-1.5794979,0.38630295,-0.30981237,-0.1063938,0.57317555,-0.618166,-1.7173908,-0.38613024,0.774459,-0.3569682,-0.5610341,-1.586763,0.21851577,-0.21313657,0.41971457,0.26822487,-1.5138832,0.06339093,1.3489596,0.7667213,0.34440866,0.8602816,0.59528166,0.0
0.41575792,-0.2590049,-0.5708467,0.8670719,-0.21296568,1.1633066,-0.9089889,-0.017597055,0.34052357,0.34958375,0.6370971,0.80525446,1.513517,-2.5389605,0.5100387,0.47932914,-0.67128867,0.37466612,0.46530432,1.0319086,1.0466086,-1.3047724,-0.7789462,1.1384473,0.3023509,1.0104492,0.37747905,-0.48012322,0.3802362,-0.7950341,-0.24682766,1.2756313,-1.8374509,1.3109207,1.0678773,0.9782982,-0.73779416,-1.5601208,-1.0943899,-0.3113172,0.6453388,-1.2455276,0.0513498,-0.10486883,-0.5875804,1.0588694,-0.9555644,-2.0420692,1.7087646,1.2100079,0.92422473,-0.7457247,0.35398427,0.9330451,0.8640367,-0.4767818,-0.9190594,-0.60600513,0.80807394,-1.6595359,0.048418682,0.3740165,0.2122106,-0.5155889,1.9327757,0.750206,-0.8537494,-1.3616357,0.18459003,0.20900911,0.85889965,0.12346267,-0.1281246,0.47015664,-2.2868726,0.21677388,1.3286217,-1.3959407,-1.1888424,1.0024989,-0.30303267,2.2717595,0.12637182,0.95045805,-0.4294125,1.7068956,-0.7657031,0.07419742,1.7445993,-0.40623122,1.2284158,-1.0891693,-0.29184288,1.650485,-0.8179567,-1.7015264,-0.7916565,-1.2833956,-0.99602145,-1.5759267,0.0
-0.7351762,-0.81321156,0.50011843,0.18435234,0.26193336,-0.1673695,0.8377415,0.31310534,0.7858168,-0.5004075,-0.33859158,0.21914627,0.5192111,1.8486977,-1.3448889,0.6651051,-0.35948366,1.7228409,-0.49428356,0.9269341,0.42465082,-1.4402415,-0.4602977,0.40181056,0.5595115,0.78034234,0.5114815,-0.11135924,0.09065708,0.80251974,0.36618584,-0.25833875,0.32945043,-0.38763157,1.1010516,0.7523797,0.079004474,-0.05351514,0.8510957,-0.42758706,-0.5383242,1.1354674,-0.8976419,-0.08316221,1.4989192,0.35043514,-0.6255175,-0.42551184,1.5614134,-3.004835,-0.20465025,-0.7097775,-0.06253508,-0.012693858,1.344611,0.8487501,-1.5850492,-0.051144995,-0.66424066,-0.71724635,-1.4191095,-2.113142,1.5325853,1.3150291,0.1788399,-0.33596024,0.95834893,-1.7201617,0.5492865,0.23404853,-1.1442306,-1.2039753,1.5745363,-1.8795578,-0.2683375,0.3183628,-1.6146413,-0.29020217,1.5908651,0.75340253,-0.59110105,1.4812545,-1.139115,2.2219522,-0.31485558,0.67048025,-0.39852625,0.61174273,0.43313274,-0.15804914,0.4035922,0.39344528,-0.24344505,1.2255558,0.9360574,0.5075719,-0.43672788,0.9394234,-1.8085774,-0.7730166,1.0
0.235479,0.29800975,0.5900949,0.28176147,-0.5743344,-0.73166436,-0.5126042,1.069991,0.90207815,0.13812584,0.7336847,0.3861262,0.9079092,1.6279606,-0.57863075,-0.95064837,0.9097048,-0.20172274,1.9085464,-1.8528497,0.42431667,0.6251067,0.806573,-1.3042071,1.5567939,0.75966734,1.7769105,-0.9090259,-0.52581817,-0.99383473,0.044313654,1.054664,1.1371795,1.6148818,0.29533556,0.10498646,1.4727569,2.264447,-2.1811478,-1.3529134,-0.39378867,-1.6340925,1.0126401,1.1571773,-1.4284098,1.8432463,-0.76196367,-0.53383106,-0.318401,0.6584922,0.027856667,-0.37092084,0.23668651,-0.26424214,-0.3743416,0.06890025,-0.19084999,0.6390263,0.12193834,-1.5994505,0.25097975,-0.89739776,-0.2079493,0.5760646,0.6201112,0.38268405,-2.6859572,-0.4074465,2.0153637,-0.05639706,-0.525778,-0.56592286,-0.8527474,-0.76158375,2.226419,-0.72712743,0.23051882,-0.85184985,0.70443904,0.56875795,-1.4992441,0.6015767,3.2900956,0.09534028,0.21936756,-0.5465916,0.74514174,0.44898325,1.0493754,-1.1702,-2.058653,-0.7993502,-0.057826817,-0.21998085,-0.5329829,0.26815644,-0.6360917,-0.5488937,0.37762636,-0.11969151,1.0
-0.08367256,0.8784274,-0.14981121,-0.49334347,0.30290145,-0.2550856,0.7949606,-0.6321433,-1.0636923,0.21625322,-0.63134724,-0.8769166,-0.74568284,-1.2539233,-0.25323665,0.4561552,-0.29527235,-2.488233,0.14206685,1.2928216,-0.92704546,1.9847225,1.1045716,-0.57802856,-0.6413004,0.042505622,0.95809937,-0.3274546,0.58974886,0.81231827,-0.113324046,-0.022009306,1.3417615,0.7564664,0.025737617,0.33952317,-0.64331377,0.27227965,-1.0059798,-0.3823788,-0.8711036,-2.0479288,-0.27521017,-2.4942753,0.70982957,-0.7423622,-0.08078674,1.4541767,1.8273182,-0.94660103,-2.3275564,1.0848892,-0.105185516,0.17392051,0.33195826,0.27302274,1.9982812,1.559737,-0.5958941,0.026727332,0.5240576,-1.1214985,1.1084456,1.3871864,-1.6916919,-0.13248469,-0.2678905,0.3467305,-0.6021746,-0.8908533,-1.0779315,1.3717482,-0.20574887,0.2385338,0.43375903,-0.5555059,0.57159823,-0.014844024,0.55790263,0.67297214,1.199748,1.0203655,1.3485693,-2.4137821,1.2034996,1.201255,-0.16648957,-0.07606533,-1.5011932,0.10294382,1.2767053,-0.5467966,1.412766,0.04694356,-0.4536901,0.93052256,-0.024536757,-0.88920385,-0.7505832,0.40075183,0.0
1.6746354,0.0671179,1.18925,-0.250662,0.3810625,1.8586841,-0.14212918,0.34493756,-1.031001,-0.2492497,0.29153186,-1.0640829,-0.6510869,0.42726114,-0.17818214,-0.27253163,0.91640574,-1.2108381,0.6033272,-0.9567844,0.34409663,-0.87769645,1.2372487,0.58786464,-0.9926417,-0.81879413,1.2119999,-0.6022624,-1.2910984,1.0089695,0.48707914,0.41039127,-0.2686398,0.41816506,0.12313327,-0.45016462,-0.40876764,-0.4793746,-0.057345532,-0.44912294,-0.39663962,0.16270149,-0.32899415,1.1662118,0.38209414,-0.5325225,0.06401223,-1.4550198,1.3675671,2.1679654,0.35013935,0.8019697,1.1373928,-1.0484749,-0.024764223,0.4498636,0.6022468,-1.5772684,0.26852754,-0.16834049,1.2248145,0.59739596,0.4490828,0.4593141,-0.80715084,1.0451219,-0.5770259,-0.33004406,1.49221,1.5638406,0.30522856,-0.5408269,-1.1000221,1.3624634,-0.9550597,1.6533312,1.2966902,0.1808749,2.2688303,-0.69868886,0.070932366,-1.8059735,-0.4930968,0.5988464,0.8374848,-0.06213689,-0.6374048,0.79190266,-0.46624866,-0.05115367,-0.94780034,-1.3576242,-0.2040498,-0.18401907,-0.27616367,-0.45288086,1.6359867,1.6866784,-0.38998255,0.3364767,1.0
-0.5563977,-0.23315693,1.0506936,-0.62673014,0.4815752,-0.19721265,-0.38731268,1.1199852,-1.7059505,-0.028609231,0.60644954,-0.5686577,-1.1917394,-0.8804559,-0.9408098,0.6366418,0.20593064,-0.48583484,-0.13421519,-2.3793519,-0.77676904,1.8868803,-0.16538106,0.92648464,-0.96511394,-1.1077172,-1.7061414,1.7486569,-1.01311,1.7322489,1.2479824,-0.6450214,-0.35609287,1.2946876,-0.10171392,-2.258498,-0.97019297,0.17009117,-1.1162978,0.47240686,1.3631326,1.2762834,-0.32342526,-1.6360842,-0.19595113,0.61160225,0.35178268,-0.37087253,-1.9686427,-0.97541136,-0.10664112,0.9485609,-0.37633106,-2.0710208,0.73860705,0.9659199,0.35942802,-0.6842635,-0.41218618,-0.28469044,-0.4449414,0.28602824,-0.4747155,0.66700035,0.60829324,0.19147673,-0.2865906,-0.47414368,-0.43795526,-0.2204811,-0.3887067,-1.7648731,-1.4081216,-1.0570801,-0.9667544,0.652441,-1.7578284,-0.1232379,0.38839364,-0.7487519,2.156974,1.9310007,-0.56829596,-0.9229982,0.6489076,-0.9573158,-1.9818233,1.9144742,-0.60800046,0.8992079,0.5510278,0.08571225,0.7772328,0.26036924,0.23098098,0.56473666,2.1068764,0.12831153,-0.21207383,0.030596165,0.0
0.08324062,2.0903225,-0.88400316,0.14080796,0.23690654,-1.1486882,-1.000849,1.3641092,0.47868505,-0.012940099,-0.91371316,-0.7949895,1.3559179,0.8450892,-0.03809858,0.34253407,-0.69491047,1.396405,1.0833908,-1.1515855,-1.2666357,0.12960505,0.83123124,-0.9430048,-0.62314016,-0.49536732,-0.47696728,0.7472394,0.28812134,-0.22479673,0.1428571,0.66559875,1.055153,-0.96109843,0.5087024,0.3303096,1.2360259,-0.5671813,-0.9456941,0.02083455,-2.2325876,0.2782328,1.4160087,-0.4139086,-0.22030813,-0.4935851,-1.5476729,0.89332116,-1.0594201,-0.09722719,-0.94262594,0.8949166,0.8491331,-0.86779255,-0.11317428,-1.6268212,0.5013982,0.8381643,0.59847784,0.31529376,0.7797116,-0.84357053,-0.51622754,0.9501529,0.88499486,0.19276032,0.8096019,-0.35200888,0.4166999,0.15119976,-1.0855598,0.56347364,0.38295895,2.186795,-0.016951522,-0.005022401,1.5956837,-1.1774019,1.2635576,0.10672361,0.5864694,0.6467514,1.4409839,0.0623526,2.4489708,-1.5686846,-1.406034,-1.8034564,0.41244692,-0.08340359,-0.256546,0.78630185,0.7584959,-0.03338926,1.1988729,0.12136608,-1.5624703,-1.7188616,-1.0308641,-0.6836722,1.0
